part_name,part_id,mpn_id,part_price,install_difficulty,install_time,symptoms,appliance_types,replace_parts,brand,availability,install_video_url,product_url
Caloric Dishwasher Element Grommet,PS451462,5300806833,5.86,Easy ,30 - 60 mins ,Leaking,"Dishwasher, Cooktop.","AP2135215, 611359, 08014806, 0806833, 3014682, 3351028, 40570, 5300007101, 5303351028, 7-5831, 705831, 8-6833, 8014806, 806833, 89593-1, G148568, G159894, K1082080, K1093193, K1093359 ... Show more",Frigidaire,Special Order,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS451462-Frigidaire-5300806833-Element-Grommet.htm?SourceCode=18
Caloric Dishwasher Heating Element Brass Nut,PS1524878,154106202,7.82,Really Easy ,15 - 30 mins ,,Dishwasher.,"AP3965251, 1196115, 08014807, 0806834, 154106201, 3018118, 3351029, 40571, 4162518, 5300806834, 5303351029, 8-6834, 80-6834, 8014807, 806834, 89637-1, S000007201, WS7201",Frigidaire,In Stock,https://www.youtube.com/watch?v=vDxcXmE5lmA,https://www.partselect.com/PS1524878-Frigidaire-154106202-Heating-Element-Brass-Nut.htm?SourceCode=18
"Caloric Dishwasher Screw, 8/18 x 3/8",PS11746840,WP90767,5.41,Easy ,30 - 60 mins ,,"Dryer, Refrigerator, Washer, Air Conditioner.","AP6013613, 0041808, 0041816, 0056267, 0056277, 015446, 03020094, 0312639, 0312642, 046373-03, 046373-04, 05600002, 05600004, 0805221, 0808658, 12990524, 12991603V, 14222402, 2-10587, 2-11294 ... Show more",Whirlpool,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS11746840-Whirlpool-WP90767-Screw-8-18-x-3-8.htm?SourceCode=18
Caloric Dishwasher Screw,PS12349731,W11233072,20.77,Really Easy ,15 - 30 mins ,,"Refrigerator, Range, Wall Oven, Freezer.","AP6331301, 0071642, 0077903, 0078135, 01500080, 01500152, 02500010, 02500034, 02500057, 02500172, 03000149, 03000153, 03000188, 03000193, 03020016, 03020068, 03020072, 03020079, 04100110, 05200050 ... Show more",Whirlpool,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS12349731-Whirlpool-W11233072-Screw.htm?SourceCode=18
Caloric Dishwasher Screw,PS11753384,WPW10348409,7.75,Really Easy ,Less than 15 mins ,,"Dishwasher, Refrigerator, Range, Microwave.","AP6020071, 01000700, 07717600, 12990301, 3369051, 3369051D, 4344333, 5015-UU, 61004314, 67004876, 67006831, 68001105, 68001196, 68001413, 74001449, 74007476, M0203944, M0211533, M0221716, M0221718 ... Show more",Whirlpool,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS11753384-Whirlpool-WPW10348409-Screw.htm?SourceCode=18
Caloric Dishwasher Hose Clamp,PS11740613,WP285655,11.09,A Bit Difficult ,1- 2 hours ,Leaking,"Washer, Dishwasher, Washer Dryer Combo, Refrigerator.","AP6007497, 01500081, 01500148, 01500206, 01500208, 01500214, 0808186, 113200354, 113200366, 14001075, 14001076, 14219080, 14220070, 14224489, 17225, 2-0461, 2-0908, 2-0909, 2-1011, 2-10597 ... Show more",Whirlpool,In Stock,https://www.youtube.com/watch?v=zwwPTlB9_W0,https://www.partselect.com/PS11740613-Whirlpool-WP285655-Hose-Clamp.htm?SourceCode=18
Caloric Dishwasher Screw,PS11741849,WP355214,6.76,Really Easy ,30 - 60 mins ,,"Range, Wall Oven, Dryer, Washer.","03020100, 0809752, 2-13949, 213949, 3393918, 354546, 355214, 4340310, 4355135, 4355220, 5-60032, 5-80244, 560032, 580244, 7-0699, 7-0725, 700699, 700725, 7101P223-60, 8-9752 ... Show more",Whirlpool,In Stock,,https://www.partselect.com/PS11741849-Whirlpool-WP355214-Screw.htm?SourceCode=18
Caloric Dishwasher Clamp,PS11743796,WP696392,7.28,Easy ,15 - 30 mins ,Leaking,"Washer, Dishwasher, Washer Dryer Combo, Dryer.","14202480, 14202568, 2-0753, 200753, 22002053, 2235-0001, 2235-0002, 2235-0006, 2235-0007, 2235-0008, 23001025, 23001258, 24001353, 251971304015, 696392, 7-93043, 7-93045, 793043, 793045, 8181734 ... Show more",Whirlpool,On Order,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS11743796-Whirlpool-WP696392-Clamp.htm?SourceCode=18
Caloric Dishwasher Screw,PS11743719,WP67006908,8.04,A Bit Difficult ,30 - 60 mins ,,"Refrigerator, Washer, Dryer, Dishwasher.","0053908, 0805106, 0809121, 12990518, 12991001, 12991001N, 2-13117, 2-15277, 213117, 215277, 22002295, 25-7082, 25-7082P, 25-7083, 3-31009, 3-31012, 331009, 331012, 400022-1, 40086-2 ... Show more",Whirlpool,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS11743719-Whirlpool-WP67006908-Screw.htm?SourceCode=18
Caloric Dishwasher Screw Kit,PS1731746,R9800670,5.91,,,,"Refrigerator, Freezer, Air Conditioner, Furnace.","AP4253487, 237241, 0056271, 0056302, 320449, 56271, 70002486, 8170499, 8170596, A4009001, M0211030, M0211343, M0223230, M0226331, M0238731, M0257244, R0900020, R9800670, Y0056271, Y0056302 ... Show more",Whirlpool,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS1731746-Whirlpool-R9800670-Screw-Kit.htm?SourceCode=18
Caloric Dishwasher Element Grommet,PS451462,5300806833,5.86,Easy ,30 - 60 mins ,Leaking,"Dishwasher, Cooktop.","AP2135215, 611359, 08014806, 0806833, 3014682, 3351028, 40570, 5300007101, 5303351028, 7-5831, 705831, 8-6833, 8014806, 806833, 89593-1, G148568, G159894, K1082080, K1093193, K1093359 ... Show more",Frigidaire,Special Order,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS451462-Frigidaire-5300806833-Element-Grommet.htm?SourceCode=18
"Admiral Dishwasher Upper Rack Adjuster Kit - White Wheels, Left and Right Sides",PS10065979,W10712395,39.89,Really Easy ,30 - 60 mins ,Door won’t close | Door latch failure | Not cleaning dishes properly | Noisy,Dishwasher.,"AP5957560, W10250159, W10350375, W10712395VP",Whirlpool,In Stock,https://www.youtube.com/watch?v=pZO1rcMwKBc,https://www.partselect.com/PS10065979-Whirlpool-W10712395-Upper-Rack-Adjuster-Kit-White-Wheels-Left-and-Right-Sides.htm?SourceCode=18
Admiral Dishwasher Rack Track Stop,PS11746591,WP8565925,7.7,Really Easy ,30 - 60 mins ,Door latch failure | Not cleaning dishes properly | Door won’t close | Noisy,Dishwasher.,"AP6013365, 8270105, 8270106, 8524581, 8524582, 8562015, 8565920, 8565925, W10082860, W10082861, W10199682, W10508950, WP8565925VP, WPW10082861, WPW10082861VP, WPW10508950, WPW10508950VP",Whirlpool,In Stock,https://www.youtube.com/watch?v=siE-8HethWg,https://www.partselect.com/PS11746591-Whirlpool-WP8565925-Rack-Track-Stop.htm?SourceCode=18
Admiral Dishwasher Heating Element,PS8260087,W10518394,44.68,Easy ,30 - 60 mins ,Not drying dishes properly | Not cleaning dishes properly | Will Not Start | Leaking,Dishwasher.,"AP5690151, 2977737, W10518394, 8194250, 8563007, 8563464, 8572861, W10134009, W10441445, W10518394VP",Whirlpool,In Stock,https://www.youtube.com/watch?v=Co8dQ7rzTMQ,https://www.partselect.com/PS8260087-Whirlpool-W10518394-Dishwasher-Heating-Element.htm?SourceCode=18
Admiral Dishwasher Mounting Bracket,PS11745496,WP8269145,10.03,Really Easy ,15 - 30 mins ,Door latch failure | Door won’t close | Leaking,Dishwasher.,"AP6012289, 8269145, WP8269145VP",Whirlpool,In Stock,https://www.youtube.com/watch?v=X7SLvFAiTkw,https://www.partselect.com/PS11745496-Whirlpool-WP8269145-Mounting-Bracket.htm?SourceCode=18
Admiral Dishwasher GASKET,PS16221222,W11498831,20.89,Really Easy ,15 - 30 mins ,Leaking,Dishwasher.,"W10524469, W11425053, WPW10524469",Whirlpool,On Order,https://www.youtube.com/watch?v=4-vTueX2zxE,https://www.partselect.com/PS16221222-Whirlpool-W11498831-GASKET.htm?SourceCode=18
Admiral Dishwasher Positioner,PS11750093,WPW10195840,32.89,Easy ,1- 2 hours ,Door won’t close | Not cleaning dishes properly | Door latch failure,Dishwasher.,"AP6016800, W10195840, W10418323",Whirlpool,In Stock,https://www.youtube.com/watch?v=3no3S5XCunU,https://www.partselect.com/PS11750093-Whirlpool-WPW10195840-Dishwasher-Positioner.htm?SourceCode=18
Admiral Dishwasher Friction Sleeve,PS11745488,WP8268961,7.49,Really Easy ,15 - 30 mins ,Door latch failure | Door won’t close | Noisy,Dishwasher.,"AP6012281, 8268961, WP8268961VP",Whirlpool,In Stock,https://www.youtube.com/watch?v=90QAaPkiTJs,https://www.partselect.com/PS11745488-Whirlpool-WP8268961-Friction-Sleeve.htm?SourceCode=18
Admiral Dishwasher Middle Spray Arm,PS11755664,WPW10498900,30.89,Very Easy ,Less than 15 mins ,Not cleaning dishes properly | Leaking,"Dishwasher, Washer Dryer Combo, Washer.","AP6022331, W10342777, W10342790, W10342791, W10376692, W10376693, W10498900, W10850340, WPW10376693",Whirlpool,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS11755664-Whirlpool-WPW10498900-Middle-Spray-Arm.htm?SourceCode=18
Admiral Dishwasher Filter,PS11759673,W10872845,31.89,Very Easy ,Less than 15 mins ,Not cleaning dishes properly | Not draining | Not drying dishes properly | Leaking,Dishwasher.,"AP6030094, 8579307, W10056425, W10056426, W10142911, W10234631, W10300746, W10393351, W10393352, W10393354, W10425171, W10455262, W10455263, W10465373, W10465374, W10465375, W10465377, W10465378, W10465379, W10693534 ... Show more",Whirlpool,In Stock,https://www.youtube.com/watch?v=rb6amLby04k,https://www.partselect.com/PS11759673-Whirlpool-W10872845-Dishwasher-Filter.htm?SourceCode=18
Admiral Dishwasher Lower Spray Arm,PS11755592,WPW10491331,43.25,Really Easy ,Less than 15 mins ,Not cleaning dishes properly | Leaking | Noisy,Dishwasher.,"AP6022259, W10491331",Whirlpool,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS11755592-Whirlpool-WPW10491331-Lower-Spray-Arm.htm?SourceCode=18
Admiral Dishwasher Retainer Clip - Black,PS11755736,WPW10503548,20.89,Really Easy ,15 - 30 mins ,,Dishwasher.,"AP6022403, W10331789, W10503548, WPW10503548VP",Whirlpool,In Stock,https://www.youtube.com/watch?v=siw5MV1rr64,https://www.partselect.com/PS11755736-Whirlpool-WPW10503548-Retainer-Clip-Black.htm?SourceCode=18
Admiral Dishwasher Heating Element Brass Nut,PS1524878,154106202,7.82,Really Easy ,15 - 30 mins ,,Dishwasher.,"AP3965251, 1196115, 08014807, 0806834, 154106201, 3018118, 3351029, 40571, 4162518, 5300806834, 5303351029, 8-6834, 80-6834, 8014807, 806834, 89637-1, S000007201, WS7201",Frigidaire,In Stock,https://www.youtube.com/watch?v=vDxcXmE5lmA,https://www.partselect.com/PS1524878-Frigidaire-154106202-Heating-Element-Brass-Nut.htm?SourceCode=18
Admiral Dishwasher Retainer Clip - White,PS11755737,WPW10503549,7.4,Really Easy ,Less than 15 mins ,,Dishwasher.,"AP6022404, 3400836, W10331793, W10503549, WPW10503549VP",Whirlpool,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS11755737-Whirlpool-WPW10503549-Retainer-Clip-White.htm?SourceCode=18
Admiral Dishwasher Hose Clamp,PS11743008,WP596669,11.77,Easy ,30 - 60 mins ,Leaking,"Washer, Dishwasher, Refrigerator, Washer Dryer Combo.","AP6009835, 01-37-687, 113200024, 113200152, 113200392, 14206537, 16314, 2-11639, 2-14739, 2-1575, 2-16169, 2-2515, 2-985, 200985, 201575, 202515, 21002253, 211639, 214739, 216169 ... Show more",Whirlpool,In Stock,https://www.youtube.com/watch?v=sX-P0iDewR0,https://www.partselect.com/PS11743008-Whirlpool-WP596669-Hose-Clamp.htm?SourceCode=18
Admiral Dishwasher Screw,PS12349731,W11233072,20.77,Really Easy ,15 - 30 mins ,,"Refrigerator, Range, Wall Oven, Freezer.","AP6331301, 0071642, 0077903, 0078135, 01500080, 01500152, 02500010, 02500034, 02500057, 02500172, 03000149, 03000153, 03000188, 03000193, 03020016, 03020068, 03020072, 03020079, 04100110, 05200050 ... Show more",Whirlpool,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS12349731-Whirlpool-W11233072-Screw.htm?SourceCode=18
Admiral Dishwasher Screw,PS11753384,WPW10348409,7.75,Really Easy ,Less than 15 mins ,,"Dishwasher, Refrigerator, Range, Microwave.","AP6020071, 01000700, 07717600, 12990301, 3369051, 3369051D, 4344333, 5015-UU, 61004314, 67004876, 67006831, 68001105, 68001196, 68001413, 74001449, 74007476, M0203944, M0211533, M0221716, M0221718 ... Show more",Whirlpool,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS11753384-Whirlpool-WPW10348409-Screw.htm?SourceCode=18
Admiral Dishwasher Hose Clamp,PS11740613,WP285655,11.09,A Bit Difficult ,1- 2 hours ,Leaking,"Washer, Dishwasher, Washer Dryer Combo, Refrigerator.","AP6007497, 01500081, 01500148, 01500206, 01500208, 01500214, 0808186, 113200354, 113200366, 14001075, 14001076, 14219080, 14220070, 14224489, 17225, 2-0461, 2-0908, 2-0909, 2-1011, 2-10597 ... Show more",Whirlpool,In Stock,https://www.youtube.com/watch?v=zwwPTlB9_W0,https://www.partselect.com/PS11740613-Whirlpool-WP285655-Hose-Clamp.htm?SourceCode=18
Admiral Dishwasher Screw,PS11738704,WP179051,8.04,Easy ,15 - 30 mins ,,"Range, Dishwasher, Wall Oven, Ice Maker.","AP6005652, 04100269, 179051, 3196161, 3400037, 5-80023, 580023, 60001127, 7-7346, 7-8764, 707346, 708764, 7101P263-60, 7101P381-60, 74002059, 9-10832, 9-12623, 910832, 912623, JA99708764 ... Show more",Whirlpool,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS11738704-Whirlpool-WP179051-Screw.htm?SourceCode=18
Admiral Dishwasher Washer Screw,PS11751637,WPW10273971,7.91,Very Easy ,15 - 30 mins ,,"Washer, Washer Dryer Combo, Dryer, Refrigerator.","AP6018335, W10133427, W10192860, W10273971",Whirlpool,In Stock,,https://www.partselect.com/PS11751637-Whirlpool-WPW10273971-Washer-Screw.htm?SourceCode=18
Admiral Dishwasher Upper Spray Arm Nut,PS11738161,W10877037,11.09,Really Easy ,Less than 15 mins ,Not cleaning dishes properly,Dishwasher.,"AP6004899, 99001587",Whirlpool,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS11738161-Whirlpool-W10877037-Upper-Spray-Arm-Nut.htm?SourceCode=18
Admiral Dishwasher Lower Spray Arm,PS11755592,WPW10491331,43.25,Really Easy ,Less than 15 mins ,Not cleaning dishes properly | Leaking | Noisy,Dishwasher.,"AP6022259, W10491331",Whirlpool,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS11755592-Whirlpool-WPW10491331-Lower-Spray-Arm.htm?SourceCode=18
Admiral Dishwasher Middle Spray Arm,PS11755664,WPW10498900,30.89,Very Easy ,Less than 15 mins ,Not cleaning dishes properly | Leaking,"Dishwasher, Washer Dryer Combo, Washer.","AP6022331, W10342777, W10342790, W10342791, W10376692, W10376693, W10498900, W10850340, WPW10376693",Whirlpool,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS11755664-Whirlpool-WPW10498900-Middle-Spray-Arm.htm?SourceCode=18
Admiral Dishwasher Middle Spray Arm,PS11754873,WPW10448645,32.89,Very Easy ,Less than 15 mins ,Not cleaning dishes properly,Dishwasher.,W10448645,Whirlpool,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS11754873-Whirlpool-WPW10448645-Middle-Spray-Arm.htm?SourceCode=18
Admiral Dishwasher Manifold,PS11753224,WPW10340542,92.44,A Bit Difficult ,30 - 60 mins ,Not cleaning dishes properly,Dishwasher.,"AP6019913, W10340542, W10380275",Whirlpool,In Stock,https://www.youtube.com/watch?v=b7ZAJdY_zsw,https://www.partselect.com/PS11753224-Whirlpool-WPW10340542-Manifold.htm?SourceCode=18
Admiral Dishwasher Upper Spray Arm Assembly,PS11747612,WP99001586,11.05,Really Easy ,Less than 15 mins ,Not cleaning dishes properly,Dishwasher.,"AP6014374, 99001586",Whirlpool,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS11747612-Whirlpool-WP99001586-Upper-Spray-Arm-Assembly.htm?SourceCode=18
Admiral Dishwasher ARM-SPRAY,PS16620353,W11550888,41.87,,,,"Dishwasher, Washer.",W11048456,Whirlpool,In Stock,,https://www.partselect.com/PS16620353-Whirlpool-W11550888-ARM-SPRAY.htm?SourceCode=18
Admiral Dishwasher ARM-SPRAY,PS16660579,W11573766,10.91,,,,Dishwasher.,W11039869,Whirlpool,In Stock,,https://www.partselect.com/PS16660579-Whirlpool-W11573766-ARM-SPRAY.htm?SourceCode=18
Admiral Dishwasher Lower Spray Arm - Shield Included,PS11743058,WP6-917642,75.18,Really Easy ,30 - 60 mins ,Not cleaning dishes properly | Noisy,Dishwasher.,"AP6009885, 6-917642, 99002678",Whirlpool,In Stock,https://www.youtube.com/watch?v=k3mfds7WDmI,https://www.partselect.com/PS11743058-Whirlpool-WP6-917642-Lower-Spray-Arm-Shield-Included.htm?SourceCode=18
Admiral Dishwasher Lower Spray Arm Support,PS11757605,WPY912900,64.54,Really Easy ,15 - 30 mins ,Not cleaning dishes properly,"Dishwasher, Range.","74001222, 9-12900, 912900, Y912900",Whirlpool,In Stock,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS11757605-Whirlpool-WPY912900-Lower-Spray-Arm-Support.htm?SourceCode=18
Admiral Dishwasher Top Wash Arm Retainer,PS11747716,WP99002753,7.6,Really Easy ,Less than 15 mins ,Not cleaning dishes properly,Dishwasher.,99002753,Whirlpool,Special Order,https://www.youtube.com/watch?v=d6AvOkulk_g,https://www.partselect.com/PS11747716-Whirlpool-WP99002753-Top-Wash-Arm-Retainer.htm?SourceCode=18
Admiral Dishwasher Drain Hose,PS11756139,WPW10545278,48.17,,,Leaking | Not draining | Not cleaning dishes properly,Dishwasher.,"AP6022802, W10137608, W10193583, W10195750, W10418848, W10418849, W10481093, W10545278, W10688890, WPW10545278VP",Whirlpool,In Stock,https://www.youtube.com/watch?v=U5UojswX6HI,https://www.partselect.com/PS11756139-Whirlpool-WPW10545278-Drain-Hose.htm?SourceCode=18
Admiral Dishwasher Drain Hose,PS2358130,8269144A,31.57,Really Easy ,15 - 30 mins ,Leaking | Not draining | Not cleaning dishes properly,Dishwasher.,"AP4399659, 1489097, 8269144",Whirlpool,In Stock,https://www.youtube.com/watch?v=ClVbh9jXOlU,https://www.partselect.com/PS2358130-Whirlpool-8269144A-Drain-Hose.htm?SourceCode=18
Admiral Dishwasher Faucet Adapter,PS11751238,WPW10254672,54.41,Easy ,15 - 30 mins ,Leaking | Will not fill with water,"Dishwasher, Washer.","AP6017937, 0803149, 0803391, 110552, 115356, 14205693, 20057331, 20082085, 20082444, 20084016, 20103199, 21014, 300446, 326039784, 3374592, 39898-1, 40006-1, 40420-1, 4107541, 4160080 ... Show more",Whirlpool,In Stock,https://www.youtube.com/watch?v=XLZQFsAMbp0,https://www.partselect.com/PS11751238-Whirlpool-WPW10254672-Faucet-Adapter.htm?SourceCode=18
Admiral Dishwasher MANIFOLD,PS16660512,W11568642,10.66,,,,Dishwasher.,W10830577,Whirlpool,In Stock,,https://www.partselect.com/PS16660512-Whirlpool-W11568642-MANIFOLD.htm?SourceCode=18
